subject,body,sender,label
Team lunch this Friday - RSVP,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,mike.chen@ourcompany.com,0
Re: Question about the API documentation,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",sarah.johnson@ourcompany.com,0
Feedback requested on design mockups,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",orders@amazon.com,0
Job posting: Senior Software Engineer,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",hr@ourcompany.com,0
Your payment failed - update billing info now,"Your recent payment of $49.99 has failed. To avoid service interruption, please update your billing information immediately at: http://bit.ly/spketv82 If you do not update within 12 hours, your account will be suspended.",security@acc0unt-verify.com,1
Important: Confirm your account details,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://bit.ly/8v8wq4mp Act now - this offer won't last! Don't delay! Alternative link: http://www.amaz0n-support.com/verify/4w9rsh8y,service@apple-id-verify.cn,1
Re: Question about the API documentation,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",no-reply@google.com,0
Security Alert: Unusual sign-in activity detected,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://secure-login.account-verify.92.xyz/auth This is your last chance. IMMEDIATE ACTION REQUIRED!,security@acc0unt-verify.com,1
Action Required: Verify your identity immediately,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://bit.ly/ha7135ho Act now - this offer won't last!,service@apple-id-verify.cn,1
Important: Confirm your account details,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://secure.chase-verify.dem6jrfl.net/login If you did not request this change, contact support immediately. Time is running out!",support@amaz0n-billing.ru,1
Team lunch this Friday - RSVP,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",support@figma.com,0
Action Required: Verify your identity immediately,"Your tax refund of $3,247.00 is ready to be processed. To receive your refund, please verify your banking details at: http://tinyurl.com/l8gimeim This is a time-sensitive matter from the IRS. ACT NOW!",service@apple-id-verify.cn,1
Invoice #INV-39481 attached - payment overdue,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://secure-login.account-verify.91.xyz/auth Offer expires in 48 hours! Alternative link: http://secure.chase-verify.behd253h.net/login",admin@chase-secure.info,1
Reset your password immediately,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://www.amaz0n-support.com/verify/rvbcabbb Act now - this offer won't last! Alternative link: http://www.amaz0n-support.com/verify/g28xdbjw,helpdesk@g00gle-alert.org,1
Security Alert: Unusual sign-in activity detected,"You have received a secure document from DocuSign. To view and sign the document, click here: http://www.amaz0n-support.com/verify/il6fjax3 This document requires your immediate attention and signature. IMMEDIATE ACTION REQUIRED! Alternative link: http://secure-login.account-verify.60.xyz/auth",security@0ffice365.co,1
Your account will be suspended in 24 hours,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://www.paypa1.com/signin/np2f8uzc This is an automated security measure. Act now to protect your account.",admin@chase-secure.info,1
Your account will be suspended in 24 hours,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://www.paypa1.com/signin/1cypnej5 Act now - this offer won't last! ACT NOW!,service@apple-id-verify.cn,1
Job posting: Senior Software Engineer,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",no-reply@google.com,0
New blog post: Best practices for code reviews,"Reminder: Please submit your timesheet for this week by Friday 5 PM. You can access the timesheet portal at https://hr.ourcompany.com/timesheet. If you have any issues, contact HR at hr@ourcompany.com. Thanks!",orders@amazon.com,0
Exclusive offer: Act now before it expires!,"Hi, I'm reaching out regarding an outstanding invoice #INV-38701. Payment of $892.50 is overdue. Please review and process payment immediately: http://secure-login.account-verify.83.xyz/auth Late fees will apply after 48 hours. Alternative link: http://bit.ly/spb42099",support@amaz0n-billing.ru,1
Invoice #INV-39481 attached - payment overdue,"Your tax refund of $3,247.00 is ready to be processed. To receive your refund, please verify your banking details at: http://tinyurl.com/jv6r7z7m This is a time-sensitive matter from the IRS. This is your FINAL warning! Alternative link: http://www.amaz0n-support.com/verify/svb0e403",helpdesk@g00gle-alert.org,1
Action Required: Verify your identity immediately,"Hi, I'm reaching out regarding an outstanding invoice #INV-98832. Payment of $892.50 is overdue. Please review and process payment immediately: http://bit.ly/eiqo7rmb Late fees will apply after 48 hours.",helpdesk@g00gle-alert.org,1
Final Notice: Your account will be closed,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://192.168.1.84/verify-account This is an automated security measure. Act now to protect your account. Don't delay!",admin@paypa1-support.xyz,1
Reminder: Submit your timesheet by Friday,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",team@slack.com,0
Final Notice: Your account will be closed,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.237.28. Secure your account NOW: http://netflix-billing.a70h0jjg.top/update-payment Ignoring this message may lead to data breach. This is your FINAL warning! Alternative link: http://netflix-billing.qy54clrz.top/update-payment,admin@paypa1-support.xyz,1
Q3 Project Update - Progress Report,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",sarah.johnson@ourcompany.com,0
Congratulations! You've won a $1000 gift card,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://secure.chase-verify.e5h3u9g2.net/login Offer expires in 48 hours! Alternative link: http://10.0.210.210/phish/login.php",helpdesk@g00gle-alert.org,1
Your monthly statement is ready,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",orders@amazon.com,0
Job posting: Senior Software Engineer,"Dear Subscriber, Here's your monthly roundup of company news and updates. This month we welcomed 5 new team members, launched our mobile app beta, and announced our partnership with TechCorp. Read more on our blog at https://www.ourcompany.com/blog",support@figma.com,0
Exclusive offer: Act now before it expires!,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://docs.google.com.2xx2ei7x.info/document This is an automated security measure. Act now to protect your account. ACT NOW! Alternative link: http://www.amaz0n-support.com/verify/y9hqq2ns",support@amaz0n-billing.ru,1
URGENT: Your account has been compromised,"You have received a secure document from DocuSign. To view and sign the document, click here: http://login.microsoftonline.ft8j9lqy.tk/oauth This document requires your immediate attention and signature. Time is running out!",admin@chase-secure.info,1
Feedback requested on design mockups,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",orders@amazon.com,0
Congratulations! You've won a $1000 gift card,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://netflix-billing.ldf1vtkm.top/update-payment This is your last chance. Don't delay! Alternative link: http://login.microsoftonline.ya9mejuu.tk/oauth,noreply@netfl1x-update.top,1
Exclusive offer: Act now before it expires!,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://www.amaz0n-support.com/verify/p5qw34j3 Thank you for your cooperation. Alternative link: http://login.microsoftonline.kxb1tjc3.tk/oauth",noreply@microsoft-security.tk,1
WARNING: Unauthorized access attempt on your account,"Hi, I'm reaching out regarding an outstanding invoice #INV-24934. Payment of $892.50 is overdue. Please review and process payment immediately: http://www.paypa1.com/signin/olu1ln6s Late fees will apply after 48 hours. ACT NOW! Alternative link: http://netflix-billing.k1ibn3d6.top/update-payment",noreply@netfl1x-update.top,1
Tax refund notification - claim your refund now,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://www.amaz0n-support.com/verify/cr9rfmei Non-compliance will result in account restriction. Alternative link: http://www.amaz0n-support.com/verify/g8duem4h",support@amaz0n-billing.ru,1
You have (1) unread secure message,"Dear User, We noticed a sign-in attempt from an unrecognized device. If this wasn't you, please secure your account immediately by clicking: http://account-security.tn7tlhxc.ru/update Your security is our top priority.",security@0ffice365.co,1
Action Required: Verify your identity immediately,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://secure.chase-verify.1msmzlr7.net/login This is an automated security measure. Act now to protect your account. Don't delay! Alternative link: http://tinyurl.com/dcrpe8gr",admin@paypa1-support.xyz,1
Congratulations! You've won a $1000 gift card,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://192.168.1.136/verify-account Non-compliance will result in account restriction.",alert@bank0famerica.net,1
WARNING: Unauthorized access attempt on your account,"Hi, I'm reaching out regarding an outstanding invoice #INV-75898. Payment of $892.50 is overdue. Please review and process payment immediately: http://192.168.1.253/verify-account Late fees will apply after 48 hours.",alert@bank0famerica.net,1
You have (1) unread secure message,"You have received a secure document from DocuSign. To view and sign the document, click here: http://www.paypa1.com/signin/ex2wxs1l This document requires your immediate attention and signature. Alternative link: http://www.amaz0n-support.com/verify/ahc9dh6h",admin@paypa1-support.xyz,1
Invitation: Annual company retreat,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,mike.chen@ourcompany.com,0
Action Required: Verify your identity immediately,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://tinyurl.com/r20qd58x Offer expires in 48 hours! Alternative link: http://www.paypa1.com/signin/jx4xtbcd",security@0ffice365.co,1
Final Notice: Your account will be closed,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.236.11. Secure your account NOW: http://192.168.1.164/verify-account Ignoring this message may lead to data breach.,helpdesk@g00gle-alert.org,1
Weekly standup notes - Sprint 14,"Dear Subscriber, Here's your monthly roundup of company news and updates. This month we welcomed 5 new team members, launched our mobile app beta, and announced our partnership with TechCorp. Read more on our blog at https://www.ourcompany.com/blog",david.smith@ourcompany.com,0
Happy Birthday from the team!,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",sarah.johnson@ourcompany.com,0
URGENT: Your account has been compromised,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://tinyurl.com/o1yjwsoy Use code SAVE90 at checkout. Hurry, stocks are limited! Don't delay!",noreply@microsoft-security.tk,1
Job posting: Senior Software Engineer,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",support@figma.com,0
Your monthly statement is ready,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",hr@ourcompany.com,0
Re: Question about the API documentation,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",newsletter@ourcompany.com,0
Congratulations! You've won a $1000 gift card,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://secure.chase-verify.r0a00yrm.net/login Use code SAVE90 at checkout. Hurry, stocks are limited! Alternative link: http://192.168.1.179/verify-account",helpdesk@g00gle-alert.org,1
Action Required: Verify your identity immediately,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://www.amaz0n-support.com/verify/xf8mdryc Use code SAVE90 at checkout. Hurry, stocks are limited! This is your FINAL warning!",helpdesk@g00gle-alert.org,1
Feedback requested on design mockups,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",team@slack.com,0
Your order has been shipped,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",mike.chen@ourcompany.com,0
Tax refund notification - claim your refund now,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://account-security.w4x5t5u8.ru/update If you did not request this change, contact support immediately.",noreply@microsoft-security.tk,1
Security Alert: Unusual sign-in activity detected,"Hi, I'm reaching out regarding an outstanding invoice #INV-72566. Payment of $892.50 is overdue. Please review and process payment immediately: http://secure-login.account-verify.207.xyz/auth Late fees will apply after 48 hours. Time is running out!",security@acc0unt-verify.com,1
Conference registration confirmation,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",orders@amazon.com,0
New blog post: Best practices for code reviews,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",hr@ourcompany.com,0
Your account will be suspended in 24 hours,URGENT NOTICE: Your account has been temporarily locked due to suspicious activity. You must verify your credentials within 24 hours to avoid permanent suspension. Click here: http://www.paypa1.com/signin/2r07goul Failure to act will result in account deletion. This is your FINAL warning! Alternative link: http://docs.google.com.pz92t6yt.info/document,service@apple-id-verify.cn,1
New blog post: Best practices for code reviews,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",david.smith@ourcompany.com,0
Feedback requested on design mockups,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",noreply@github.com,0
Team lunch this Friday - RSVP,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",noreply@github.com,0
Your package delivery is pending - confirm address,"You have received a secure document from DocuSign. To view and sign the document, click here: http://login.microsoftonline.8tubcijv.tk/oauth This document requires your immediate attention and signature. Time is running out!",helpdesk@g00gle-alert.org,1
Job posting: Senior Software Engineer,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",noreply@github.com,0
Reminder: Submit your timesheet by Friday,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",support@figma.com,0
Weekly standup notes - Sprint 14,Hey all! We're organizing a team lunch this Friday at 12:30 PM at Olive Garden. Please RSVP by Wednesday so I can make the reservation. Vegetarian and vegan options are available. Hope to see everyone there! - Mike,newsletter@ourcompany.com,0
Important: Confirm your account details,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.190.148. Secure your account NOW: http://docs.google.com.miwslpi8.info/document Ignoring this message may lead to data breach. Don't delay! Alternative link: http://tinyurl.com/gvzkqful,admin@chase-secure.info,1
Invoice #INV-39481 attached - payment overdue,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://www.amaz0n-support.com/verify/4wv98y3u Offer expires in 48 hours! Alternative link: http://192.168.1.82/verify-account",admin@chase-secure.info,1
Your payment failed - update billing info now,"Hi, I'm reaching out regarding an outstanding invoice #INV-58997. Payment of $892.50 is overdue. Please review and process payment immediately: http://secure.chase-verify.tkw2j2co.net/login Late fees will apply after 48 hours.",admin@paypa1-support.xyz,1
Weekly standup notes - Sprint 14,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",support@figma.com,0
New blog post: Best practices for code reviews,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",newsletter@ourcompany.com,0
Action Required: Verify your identity immediately,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://10.0.157.157/phish/login.php Use code SAVE90 at checkout. Hurry, stocks are limited! Don't delay! Alternative link: http://10.0.8.8/phish/login.php",security@acc0unt-verify.com,1
Exclusive offer: Act now before it expires!,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://www.amaz0n-support.com/verify/48kxx98j Act now - this offer won't last!,admin@chase-secure.info,1
Re: Question about the API documentation,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",newsletter@ourcompany.com,0
Monthly newsletter - Company updates,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",support@figma.com,0
Happy Birthday from the team!,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",newsletter@ourcompany.com,0
Security Alert: Unusual sign-in activity detected,"Your recent payment of $49.99 has failed. To avoid service interruption, please update your billing information immediately at: http://docs.google.com.tyejodbj.info/document If you do not update within 12 hours, your account will be suspended. Don't delay! Alternative link: http://www.amaz0n-support.com/verify/zw7zmvv4",noreply@microsoft-security.tk,1
Exclusive offer: Act now before it expires!,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://secure.chase-verify.5f4w0vug.net/login Thank you for your cooperation. Alternative link: http://www.bankofamerica-secure.9c3fuquh.org/verify",noreply@netfl1x-update.top,1
Q3 Project Update - Progress Report,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",hr@ourcompany.com,0
Congratulations! You've won a $1000 gift card,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://login.microsoftonline.45qsh0an.tk/oauth Non-compliance will result in account restriction.",alert@bank0famerica.net,1
Your order has been shipped,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",support@figma.com,0
Feedback requested on design mockups,"Reminder: Please submit your timesheet for this week by Friday 5 PM. You can access the timesheet portal at https://hr.ourcompany.com/timesheet. If you have any issues, contact HR at hr@ourcompany.com. Thanks!",newsletter@ourcompany.com,0
Important: Confirm your account details,"Your tax refund of $3,247.00 is ready to be processed. To receive your refund, please verify your banking details at: http://www.amaz0n-support.com/verify/pnwdds54 This is a time-sensitive matter from the IRS. Alternative link: http://portal.office365-security.zxczd9mx.co/reset",admin@paypa1-support.xyz,1
Invitation: Annual company retreat,Hey all! We're organizing a team lunch this Friday at 12:30 PM at Olive Garden. Please RSVP by Wednesday so I can make the reservation. Vegetarian and vegan options are available. Hope to see everyone there! - Mike,hr@ourcompany.com,0
Tax refund notification - claim your refund now,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://account-security.gjbgvd3f.ru/update This is your last chance.,noreply@netfl1x-update.top,1
Weekly standup notes - Sprint 14,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",newsletter@ourcompany.com,0
Final Notice: Your account will be closed,"Your tax refund of $3,247.00 is ready to be processed. To receive your refund, please verify your banking details at: http://login.microsoftonline.bfw9fuya.tk/oauth This is a time-sensitive matter from the IRS. This is your FINAL warning! Alternative link: http://tinyurl.com/7kykirtr",admin@paypa1-support.xyz,1
Invitation: Annual company retreat,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",david.smith@ourcompany.com,0
Job posting: Senior Software Engineer,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",hr@ourcompany.com,0
Your order has been shipped,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",newsletter@ourcompany.com,0
Your package delivery is pending - confirm address,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://login.microsoftonline.ivlu4evb.tk/oauth Non-compliance will result in account restriction. Don't delay!",admin@chase-secure.info,1
Invitation: Annual company retreat,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",orders@amazon.com,0
Invoice #INV-39481 attached - payment overdue,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://docs.google.com.7nhbqp8r.info/document Offer expires in 48 hours!",noreply@microsoft-security.tk,1
Your package delivery is pending - confirm address,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://docs.google.com.mit7i1jk.info/document Offer expires in 48 hours! Alternative link: http://bit.ly/bu00t2rj",admin@paypa1-support.xyz,1
